Class,_rlnAccuracyRotations,_rlnAccuracyTranslations,_rlnEstimatedResolution,Average SSNR Map,Average Reference Sigma2,Average SpectOriContrib,_rlnOverallFourierCompleteness,Average Fourier Completeness,Average Reference Tau2,Selection
Class34,3.15,0.3,7.716,4807.42958887879,8.52531161515151E-08,0.030302996285152,1,1,0.000472223352425,1
Class35,2.7,0.43,7.716,3147.57333178788,9.58120977272727E-08,0.030303080715152,1,1,0.000572749650075,1
Class36,999,999,17.636571,216.702524610245,0.000107395007394,0,0.947334,0.401881696969697,0,0
Class37,3.8,0.61,11.223272,2048.10098124242,8.10849677878788E-08,0.030303067959697,1,0.698029242424243,0.000262319022096,0
Class38,2.7,0.29,7.716,3990.10970987879,1.0478866030303E-07,0.030303014358788,1,1,0.000507888726885,1
Class39,3.4,0.45,7.964903,4252.72442409091,7.35601623030303E-08,0.030303046,1,0.979647212121212,0.000494658302546,1
Class40,999,999,22.446545,22.0212028666912,0.000706656354545,0.030303046094546,0.807443,0.310148212121212,0,0
Class41,2.65,0.49,8.818285,2949.31099618182,9.96123145757576E-08,0.030302962968788,1,0.87845303030303,0.000531199730751,1
Class42,2.8,0.39,7.716,4037.78842445455,7.76067870909091E-08,0.030303002148485,1,0.993366515151515,0.000567573336008,1
Class43,3.55,0.61,10.735304,3406.59410833333,7.50754529393939E-08,0.030303024599273,1,0.733752,0.00056076870814,1
Class44,2.75,0.49,8.2304,3345.49038121212,1.4064926030303E-07,0.030303047493939,1,0.941403848484848,0.001285977372747,0
Class45,2.4,0.42,7.716,4912.15931451515,6.46553798181818E-08,0.030303006409091,1,1,0.000617152191414,1
Class46,4.3,0.46,8.818285,9313.73729763636,3.44525644848485E-08,0.030303056498788,1,0.883116878787879,0.000467105880293,1
Class47,3.35,0.63,10.735304,3506.238791,1.00813249454545E-07,0.030303015579121,1,0.731807878787879,0.0011291650252,0
Class48,999,999,15.432,879.681398787879,1.49957584848485E-05,0,0.999987,0.509934666666667,0,0
Class49,2.6,0.42,7.716,4157.91993787879,7.73642606969697E-08,0.030303013484849,1,1,0.000606949808054,1
Class50,999,999,18.99323,93.1271864229879,0.000213626916061,0.030302993118788,0.966,0.395424787878788,0,0
0,999,999,15.432,395.597648176148,1.46316550606061E-05,0.030303012237273,1,0.505477545454546,0,0
1,1.31,0.26,7.716,3156.65146478788,1.06538785787879E-07,0.030303105503636,1,0.994572606060606,0.000545374630848,1
2,999,999,18.99323,64.341286052297,0.00032160348697,0.030302982762727,0.966856,0.398708787878788,0,0
3,1.4,0.27,7.716,2282.04944948485,1.42829161818182E-07,0.03030303424697,1,0.989145181818182,0.000486732401895,1
4,1.3,0.23,7.716,3102.48601978788,1.04602688060606E-07,0.030303033973333,1,1,0.000538324082195,1
5,999,999,20.575999,77.4797380698455,0.000186372917273,0.03030295925697,0.998774,0.401318636363636,0,0
6,1.57,0.27,7.716,4634.69395527273,7.32237294545455E-08,0.030303021154849,1,0.996080212121212,0.000634787543966,1
7,1.32,0.24,7.716,2842.8432489697,1.19547013606061E-07,0.030303091125455,1,1,0.000564027948821,1
8,999,999,17.636571,116.272139205724,0.000795607080606,0.030303067357576,0.831664,0.365937242424242,0,0
9,1.72,0.21,7.716,7739.79637418182,5.39378549090909E-08,0.03030302394,1,1,0.000437309865698,1
10,999,999,15.432,695.488733969697,4.58912726666667E-06,0.03030312969697,1,0.524753272727273,0.009592374703968,0
11,1.72,0.21,7.716,3303.93172054545,1.18207325060606E-07,0.030303054364546,1,1,0.000431454823432,1
12,999,999,12.995368,470.805393636364,7.73438780606061E-07,0.030302995124243,1,0.607302515151515,0.000389469698157,0
13,1.43,0.27,7.716,3331.19647381818,8.91616378484849E-08,0.0303029895,1,1,0.000486078532425,1
14,1.84,0.37,9.87648,5881.63338557576,4.9262860969697E-08,0.030302941690909,1,0.787410606060606,0.000605750877648,1
15,1.66,0.21,7.716,3314.17407518182,1.27635381212121E-07,0.030302882902424,1,1,0.0004538267179,1
16,1.68,0.21,7.716,4240.52993648485,1.03683324363636E-07,0.030303024158182,1,1,0.000450226777332,1
17,999,999,17.636571,279.162917827267,3.12045054545454E-05,0.030303104621212,0.999961,0.463376515151515,0,0
18,999,999,20.575999,65.4645653051318,0.000713329617273,0.03030303030303,0.836079,0.330278636363636,0,0
19,999,999,15.432,923.145571242424,7.79793613636364E-06,0.030303055084849,1,0.523341090909091,0,0
20,999,999,16.4608,181.124715744173,0.000691756884848,0.030303015224243,0.855018,0.396523,0,0
21,1.62,0.21,7.716,4434.54400712121,9.48093222727273E-08,0.030303087743333,1,1,0.000443960968756,1
22,999,999,14.524235,1449.83354351515,4.19368754848485E-05,0.030303025104243,0.97807,0.531175878787879,0.148099667034262,0
23,1.23,0.24,7.716,2188.12285230303,1.55732391212121E-07,0.03030299069697,1,1,0.000604845251695,1
24,1.58,0.27,7.716,3524.88286627273,8.17697781212121E-08,0.030302990166667,1,1,0.000424037671793,1
25,1.69,0.19,7.716,3082.24281481818,1.44120855757576E-07,0.03030302559303,1,1,0.000455327348513,1
26,999,999,16.4608,189.779716638909,0.000780231051818,0.03030303640303,0.862682,0.40033103030303,0,0
27,999,999,18.99323,87.1770418369758,0.000778172999394,0.030302977047879,0.746624,0.307625212121212,0,0
28,1.91,0.21,7.716,4797.84181227273,8.04199929393939E-08,0.03030313564303,1,1,0.00043613339887,1
29,1.89,0.25,7.716,3879.63301360606,8.22165962727273E-08,0.03030300981697,1,1,0.00040740120596,1
30,2.31,0.26,7.964903,12000.4108858485,2.84587878181818E-08,0.030302942294546,1,0.979345696969697,0.000350182420628,1
31,999,999,24.691199,19.3252728186161,0.000600988785152,0.030302970380909,0.781879,0.276721636363636,0,0
32,1.42,0.28,7.716,3034.98656939394,9.75050541818182E-08,0.030303079079697,1,0.999396969696969,0.000478154025898,1
33,2.16,0.25,7.716,5213.06552048485,6.49063982727273E-08,0.030302941011818,1,1,0.000412908985582,1
34,1.96,0.36,9.144889,4781.27192006061,5.58182889090909E-08,0.03030299959697,1,0.848304484848485,0.00038688062563,1
35,999,999,17.636571,163.627770485115,4.68244171515152E-05,0.030303072556667,0.998295,0.448802484848485,0,0
36,999,999,17.636571,170.025363885345,9.02720943636364E-05,0.030303017133333,0.998217,0.440081484848485,0,0
37,999,999,17.636571,160.373739324633,4.08418495151515E-05,0.03030303030303,1,0.46203103030303,0,0
38,999,999,16.4608,321.186092454545,2.81274385454545E-05,0.030303,1,0.486313606060606,0,0
39,1.67,0.26,8.2304,2866.37534178788,1.01853035E-07,0.03030305923697,1,0.94526903030303,0.000438162852318,1
40,999,999,16.4608,280.900996341973,3.32514415757576E-05,0.030303113270909,1,0.46955096969697,0,0
41,999,999,18.99323,55.1864529949182,0.000151563376364,0.030303000860606,0.953607,0.388921333333333,0,0
42,1.86,0.26,7.716,3902.1051700303,7.88761812121212E-08,0.030303019577879,1,0.99623096969697,0.000400382848667,1
43,999,999,14.524235,1281.07855678788,6.62293558787879E-06,0.030302956530909,1,0.531780757575758,0,0
44,999,999,15.432,211.55662428137,0.000780786879091,0.030303011868788,0.908879,0.45579103030303,0,0
45,1.6,0.25,7.716,2958.64021027273,1.00002582090909E-07,0.030302996115455,1,1,0.000471278742194,1
46,1.66,0.2,99,3781.11138951515,1.13473454181818E-07,0.030302998059091,0,0.96969696969697,0.000446124344264,1
47,999,999,18.99323,149.564007802036,0.000712039439091,0.030302972184849,0.852779,0.371011787878788,0,0
48,1.525,0.28,8.818285,1488.77989051515,2.10852658787879E-07,0.030303025326364,1,0.870416878787879,0.000327301821601,1
49,1.62,0.24,7.716,2812.13930366667,1.10066508242424E-07,0.030303040121212,1,0.999698484848485,0.000408026828397,1
0,999,999,17.636571,126.296219626158,0.001136273214848,0.030302985860606,0.814409,0.371491424242424,0,0
1,3.6,0.39,7.716,24143.661316303,1.93221046969697E-08,0.030302988884546,1,1,0.000430740149538,1
2,3.1,0.56,8.2304,15349.1562527576,1.80254729393939E-08,0.030302998553636,1,0.944491909090909,0.00060005130454,1
3,999,999,16.4608,259.326234414395,0.001024542722424,0.030303041624243,0.921069,0.429951060606061,0,0
4,999,999,27.434666,26.4370713979448,0.001881740872727,0.030302996437576,0.797678,0.263049060606061,0,0
5,999,999,10.735304,10512.0455800909,4.6913135E-06,0.030303068212121,0.99451,0.686089787878788,0.180853709348712,0
6,3.55,0.51,7.964903,11543.7539713939,2.96313919393939E-08,0.030302981287273,1,0.966991333333333,0.000531627242156,1
7,999,999,12.3456,2293.43535218182,2.29768224545455E-06,0.030303057768182,1,0.621192787878788,0.018036389196549,0
8,3.1,0.54,8.514207,10359.0580633939,3.62192904848485E-08,0.030302971891667,1,0.910360151515152,0.000730873181094,1
9,4.25,0.47,7.716,16789.2724942424,2.11093991818182E-08,0.030303075297576,1,1,0.000467762247205,1
10,2.3,0.4,7.716,3395.36338342424,1.16841278090909E-07,0.030303008545455,1,1,0.000608194539394,1
11,3.1,0.31,7.716,15616.6833054242,3.37258112121212E-08,0.030303005779394,1,1,0.000487906012032,1
12,3.2,0.7,9.144889,8959.44307645454,4.01374235757576E-08,0.030303100772424,1,0.848090212121212,0.001456599032944,0
13,999,999,14.524235,252.114430393939,0.000325167819091,0.030302992412121,0.825435,0.446629333333333,0.11571675748068,0
14,999,999,17.636571,277.690721666667,2.27667137878788E-05,0.030302985918182,0.99431,0.444427878787879,0,0
15,2.55,0.44,7.716,6975.01645442424,5.2354229030303E-08,0.030303027572727,1,1,0.000569366030493,1
16,999,999,16.4608,232.526243533948,0.000792952773939,0.030303029242424,0.884841,0.422480363636364,0,0
17,4,0.63,9.496615,4295.45732487879,8.61821285151515E-08,0.030303065159091,1,0.818034181818182,0.000513911704372,0
18,3,0.49,7.716,12567.3597730909,3.31988847272727E-08,0.030303039175758,1,1,0.000923676281133,1
19,999,999,14.524235,4339.69710951515,1.15577997272727E-05,0.030303052027273,0.999826,0.541193939393939,0,0
